Período;ARS;Nº Consultas nos CSP;Nº Consultas CSP (Não Programadas);Nº Consultas CSP (Programadas);Nº Consultas Gripe nos CSP
2017-05-11;ARS Algarve;2168.0;1159.0;1009.0;3.0
2017-05-14;ARS Lisboa e Vale do Tejo;1313.0;1313.0;0.0;7.0
2017-05-16;ARS Norte;65319.0;35351.0;29968.0;28.0
2017-05-16;ARS Algarve;5513.0;2803.0;2710.0;3.0
2017-05-17;ARS Centro;24902.0;13843.0;11059.0;16.0
2017-05-17;ARS Algarve;4763.0;2401.0;2362.0;9.0
2017-05-18;ARS Algarve;4750.0;2283.0;2467.0;3.0
2017-05-19;ARS Algarve;3859.0;1929.0;1930.0;5.0
2017-05-20;ARS Centro;1928.0;1868.0;60.0;7.0
2017-05-21;ARS Alentejo;750.0;689.0;61.0;5.0
2017-05-22;ARS Norte;64153.0;34283.0;29870.0;27.0
2017-05-22;ARS Alentejo;8900.0;4942.0;3958.0;3.0
2017-05-23;ARS Alentejo;8385.0;4469.0;3916.0;8.0
2017-05-25;ARS Norte;51032.0;25013.0;26019.0;14.0
2017-05-26;ARS Alentejo;4749.0;2619.0;2130.0;1.0
2017-05-31;ARS Centro;23186.0;12254.0;10932.0;13.0
2017-05-31;ARS Algarve;4225.0;2033.0;2192.0;3.0
2017-06-01;ARS Algarve;4217.0;2126.0;2091.0;3.0
2017-06-02;ARS Centro;16653.0;9668.0;6985.0;8.0
2017-06-03;ARS Centro;1914.0;1813.0;101.0;1.0
2017-06-03;ARS Algarve;276.0;248.0;28.0;3.0
2017-06-04;ARS Lisboa e Vale do Tejo;1269.0;1269.0;0.0;18.0
2017-06-06;ARS Centro;25114.0;13604.0;11510.0;12.0
2017-06-07;ARS Norte;52236.0;26851.0;25385.0;13.0
2017-06-07;ARS Lisboa e Vale do Tejo;29786.0;11978.0;17808.0;13.0
2017-06-07;ARS Algarve;4540.0;2243.0;2297.0;4.0
2017-06-08;ARS Centro;22126.0;11654.0;10472.0;17.0
2017-06-08;ARS Alentejo;7579.0;3924.0;3655.0;6.0
2017-06-09;ARS Lisboa e Vale do Tejo;25869.0;10519.0;15350.0;8.0
2017-06-10;ARS Norte;2369.0;2309.0;60.0;3.0
2017-06-12;ARS Norte;55319.0;30269.0;25050.0;16.0
2017-06-14;ARS Norte;45827.0;23654.0;22173.0;6.0
2017-06-14;ARS Centro;19692.0;10798.0;8894.0;4.0
2017-06-15;ARS Alentejo;759.0;728.0;31.0;1.0
2017-06-15;ARS Algarve;259.0;195.0;64.0;3.0
2017-06-16;ARS Alentejo;5168.0;2986.0;2182.0;2.0
2017-06-19;ARS Lisboa e Vale do Tejo;30161.0;12442.0;17719.0;6.0
2017-06-21;ARS Norte;50608.0;25869.0;24739.0;6.0
2017-06-24;ARS Centro;1963.0;1907.0;56.0;6.0
2017-06-25;ARS Lisboa e Vale do Tejo;1251.0;1251.0;0.0;5.0
2017-06-26;ARS Centro;25066.0;14301.0;10765.0;14.0
2017-06-27;ARS Centro;24015.0;13139.0;10876.0;3.0
2017-06-27;ARS Lisboa e Vale do Tejo;31174.0;12698.0;18476.0;7.0
2017-06-28;ARS Norte;48282.0;24635.0;23647.0;11.0
2017-06-28;ARS Algarve;4223.0;2037.0;2186.0;2.0
2017-06-29;ARS Norte;44347.0;22159.0;22188.0;16.0
2017-06-30;ARS Alentejo;5581.0;2974.0;2607.0;6.0
2017-07-01;ARS Norte;2201.0;2089.0;112.0;6.0
2017-07-02;ARS Algarve;231.0;168.0;63.0;0.0
2017-07-03;ARS Norte;57363.0;31590.0;25773.0;23.0
2017-07-03;ARS Algarve;4729.0;2582.0;2147.0;5.0
2017-07-04;ARS Alentejo;7782.0;4229.0;3553.0;0.0
2017-07-05;ARS Lisboa e Vale do Tejo;29270.0;11991.0;17279.0;10.0
2017-07-05;ARS Alentejo;7248.0;3882.0;3366.0;1.0
2017-07-07;ARS Algarve;3490.0;1751.0;1739.0;2.0
2017-07-08;ARS Alentejo;772.0;689.0;83.0;2.0
2017-07-08;ARS Algarve;351.0;334.0;17.0;0.0
2017-07-09;ARS Alentejo;698.0;593.0;105.0;0.0
2017-07-11;ARS Centro;23141.0;12583.0;10558.0;6.0
2017-07-11;ARS Alentejo;7642.0;4053.0;3589.0;5.0
2017-07-12;ARS Norte;49270.0;25277.0;23993.0;6.0
2017-07-12;ARS Centro;21496.0;11918.0;9578.0;6.0
2017-07-12;ARS Alentejo;6518.0;3449.0;3069.0;1.0
2017-07-12;ARS Algarve;3769.0;1916.0;1853.0;4.0
2017-07-13;ARS Norte;47330.0;23527.0;23803.0;7.0
2017-07-13;ARS Centro;20971.0;10978.0;9993.0;5.0
2017-07-14;ARS Norte;39357.0;20238.0;19119.0;9.0
2017-07-14;ARS Algarve;3478.0;1815.0;1663.0;1.0
2017-07-15;ARS Centro;2090.0;2016.0;74.0;5.0
2017-07-15;ARS Lisboa e Vale do Tejo;1690.0;1658.0;32.0;5.0
2017-07-17;ARS Alentejo;7156.0;3960.0;3196.0;0.0
2017-07-18;ARS Centro;21790.0;12132.0;9658.0;9.0
2017-07-18;ARS Algarve;4246.0;2097.0;2149.0;3.0
2017-07-19;ARS Alentejo;6958.0;3717.0;3241.0;1.0
2017-07-20;ARS Norte;46214.0;23304.0;22910.0;12.0
2017-07-21;ARS Norte;38659.0;20250.0;18409.0;14.0
2017-07-22;ARS Algarve;365.0;323.0;42.0;1.0
2017-07-27;ARS Centro;19836.0;11048.0;8788.0;1.0
2017-07-27;ARS Lisboa e Vale do Tejo;26437.0;10902.0;15535.0;2.0
2017-07-28;ARS Lisboa e Vale do Tejo;22372.0;9502.0;12870.0;7.0
2017-07-28;ARS Alentejo;5244.0;2790.0;2454.0;1.0
2017-07-31;ARS Lisboa e Vale do Tejo;27553.0;12391.0;15162.0;9.0
2017-07-31;ARS Alentejo;6991.0;3987.0;3004.0;2.0
2017-08-01;ARS Norte;48807.0;26103.0;22704.0;7.0
2017-08-01;ARS Centro;21279.0;12105.0;9174.0;12.0
2017-08-01;ARS Alentejo;7187.0;4070.0;3117.0;0.0
2017-08-04;ARS Norte;35924.0;19139.0;16785.0;7.0
2017-08-04;ARS Centro;15384.0;9091.0;6293.0;3.0
2017-08-04;ARS Alentejo;5425.0;2954.0;2471.0;0.0
2017-08-07;ARS Centro;21745.0;12789.0;8956.0;10.0
2017-08-08;ARS Lisboa e Vale do Tejo;26719.0;11328.0;15391.0;6.0
2017-08-08;ARS Alentejo;7369.0;4101.0;3268.0;1.0
2017-08-09;ARS Centro;19908.0;11261.0;8647.0;2.0
2017-08-11;ARS Alentejo;5492.0;3066.0;2426.0;3.0
2017-08-11;ARS Algarve;3539.0;1838.0;1701.0;1.0
2017-08-12;ARS Lisboa e Vale do Tejo;1621.0;1604.0;17.0;3.0
2017-08-13;ARS Algarve;302.0;299.0;3.0;1.0
2017-08-14;ARS Lisboa e Vale do Tejo;22542.0;10493.0;12049.0;13.0
2017-08-15;ARS Norte;1957.0;1957.0;0.0;2.0
2017-08-15;ARS Algarve;354.0;332.0;22.0;3.0
2017-08-18;ARS Norte;36021.0;19940.0;16081.0;6.0
2017-08-21;ARS Norte;49723.0;28204.0;21519.0;10.0
2017-08-21;ARS Lisboa e Vale do Tejo;27777.0;12576.0;15201.0;6.0
2017-08-22;ARS Centro;21325.0;12179.0;9146.0;5.0
2017-08-23;ARS Norte;42983.0;22816.0;20167.0;9.0
2017-08-23;ARS Lisboa e Vale do Tejo;24834.0;10411.0;14423.0;11.0
2017-08-24;ARS Algarve;4074.0;2041.0;2033.0;5.0
2017-08-25;ARS Norte;35810.0;19610.0;16200.0;7.0
2017-08-25;ARS Centro;15649.0;9426.0;6223.0;5.0
2017-08-26;ARS Alentejo;845.0;805.0;40.0;1.0
2017-08-26;ARS Algarve;383.0;315.0;68.0;1.0
2017-08-30;ARS Centro;20045.0;11212.0;8833.0;11.0
2017-09-03;ARS Norte;1803.0;1803.0;0.0;1.0
2017-09-03;ARS Algarve;298.0;263.0;35.0;0.0
2017-09-04;ARS Norte;55805.0;32190.0;23615.0;17.0
2017-09-04;ARS Algarve;4137.0;2359.0;1778.0;2.0
2017-09-05;ARS Lisboa e Vale do Tejo;28447.0;11728.0;16719.0;5.0
2017-09-06;ARS Norte;46922.0;24542.0;22380.0;11.0
2017-09-06;ARS Centro;21258.0;11999.0;9259.0;7.0
2017-09-06;ARS Alentejo;6886.0;3787.0;3099.0;3.0
2017-09-07;ARS Centro;20175.0;10850.0;9325.0;2.0
